,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
4116,,,engenharia de produção,,graduação,,,,masculino,consultoria,,amigos,unicamp,,checkedin
4117,,,engenharia mecânica,,graduação,,,,masculino,financeiro,,amigos,unicamp,,checkedin
4118,,,,,ensino médio,,,,feminino,administrativo,,amigos,,,checkedin
4119,,brasil,engenharia civil,,graduação,,,,feminino,pesquisa,,amigo,unicamp,são paulo,checkedin
4120,,,engenharia de controle e automação,,graduação,,,,feminino,engenharia,,amigos,unicamp,,checkedin
4121,,,estatística,,graduação,,,,feminino,"financeiro, pesquisa",,divulgação no campus,unicamp,,checkedin
4122,campinas,brasil,ciências econômicas,empresa de grande porte que me dê uma oportunidade,graduação,basic,basic,"curso em opções, mercado financeiro.",masculino,"financeiro, contabilidade, mercado financeiro",espanhol básico,faculdade,unip,são paulo,confirmed
4123,,,educação física,,graduação,,,,feminino,auto rendimento natação e atletismo,,passou em frente,unicamp,,confirmed
4124,,,engenharia eletronica,,graduação,,,,masculino,ti,,email,unicamp,,checkedin
4125,,,engenharia de alimentos,,graduação,,,,feminino,emprego,,amigo,unicamp,,checkedin
4126,,,engenharia elétrica,,graduação,,,,masculino,"engenharia, consultoria",,amigos,unicamp,,checkedin
4127,hortolândia,brasil,sistemas de informação,ibm,graduação,intermediate,basic,,masculino,"hardware, suporte tecnico, audio visual",,amigo,faculdade de hortolândia,são paulo,confirmed
4128,,,medicina,,graduação,,,,masculino,saúde,,amigo,unicamp,,checkedin
4129,,,farmácia,,graduação,,,,feminino,.,,amigo,unicamp,,checkedin
4130,,,direito,,graduação,,,,feminino,"estratégia de negócio, inovação, tecnologia e recursos humanos",,divulgação,unipinhal,,checkedin
4131,,,ciência da computação,,graduação,,,,masculino,ti,,amigo,fatec piracicaba,,checkedin
4132,,,engenharia de alimentos,kopenhagem,graduação,,,,feminino,pesquisa,,amigo,unicamp,,checkedin
4133,campinas,brasil,engenharia elétrica,elektro,graduação,advanced,advanced,,masculino,"engenharia, consultoria",,facebook,puccamp,são paulo,checkedin
4134,,,engenharia química,,graduação,,,,feminino,meio ambiente,,facebook,unicamp,,checkedin
4135,,,biologia,,graduação,,,,feminino,"empresarial, pesquisa",,facebook,unicamp,,checkedin
4136,,,engenharia química,,graduação,,,,feminino,financeiro,,amigo,unicamp,,checkedin
4137,,,engenharia mecânica,,graduação,,,,feminino,consultoria,,amigos,unicamp,,checkedin
4138,campinas,brasil,engenharia civil,uma empresa que oferece oportunidades  profissionais  e crescimento.,graduação,basic,basic,,masculino,"estagio de engenharia civil, auxiliar",,amigos e internet,faculdade anhanguera - campinas,são paulo,checkedin
4139,,,engenharia de computação,,graduação,,,,masculino,"programação, ti",,unicamp,unicamp,,checkedin
4140,,,estudos literários,,graduação,,,,feminino,pesquisa,,edições anteriores,unicamp,,checkedin
4141,,,engenharia civil,,graduação,,,,masculino,administrativo,,facebook,unicamp,,checkedin
4142,,,engenharia de produção,ambev e mckinsey,graduação,,,,feminino,consultoria,,amigo,unicamp,,checkedin
4143,,brasil,engenharia civil,,graduação,,,,feminino,consultoria,,facebook,unicamp,,checkedin
4144,campinas,brasil,administração,,graduação,,,,masculino,administrativo,,tv,unicamp,são paulo,checkedin
4145,,,ciências da computação,,graduação,,,,masculino,tecnologia,,unicamp,anhanguera,,checkedin
4146,campinas,brasil,engenharia química,rhodia,graduação,advanced,advanced,excel avançado,feminino,pesquisa e desenvolvimento,,jornal,unimep,são paulo,confirmed
4147,,,relações internacionais,,graduação,,,,feminino,administração,,namorado,facamp,,checkedin
4148,campinas,brasil,gestão de marketing,,graduação,intermediate,intermediate,,masculino,marketing,,notícia do g1,unip,são paulo,confirmed
4149,,,engenharia de computação,,doutorado,,,,feminino,"pesquisa, consultoria",,amigos,unicamp,,checkedin
4150,campinas,brasil,engenharia elétrica,google,,intermediate,intermediate,"nr 10, informàtica, inglês, hardware de computadores.",masculino,"tecnologia, desenvolvimento de hardware e software, energia sustentável, automação, robótica, realidade virtual entre outras.",iniciando interesse em alemão,televisão,brasil,são paulo,confirmed
4151,,,engenharia de produção,,graduação,advanced,advanced,,masculino,"consultoria, financeiro, logística","espanhol médio, alemão básico",facebook,unicamp,,checkedin
4152,,,matemática,,graduação,,,,masculino,"pesquisa, consultoria, educação",,unicamp,unicamp,,checkedin
4153,,,física,,,,,,feminino,pesquisa,,amigo,unicamp,,checkedin
4154,sumaré,brasil,engenharia de controle e automação,honda,graduação,basic,intermediate,técnico de mecatrônica,masculino,"projetos, compras, manutenção, qualidade, pcp",,prima,unisal,são paulo,confirmed
4155,,,engenharia de produção,,graduação,,,,feminino,estágio,,tv,unip,,checkedin
4156,,,licenciatura em ciências biológicas,,graduação,,,,masculino,"pesquisa, administrativo",,facebook,unicamp,,checkedin
4157,piracicaba,brasil,,"marisa, riachuelo, magazine luiza, etc",ensino médio,,basic,,feminino,"caixa, atendimento",,televisão,,são paulo,confirmed
4158,campinas,brasil,engenharia mecânica,,graduação,advanced,advanced,,masculino,indústria,alemão,universidade,unicamp,são paulo,confirmed
4159,campinas,brasil,engenharia elétrica,instituto eldorado,graduação,intermediate,intermediate,técnico em telecomunicações,masculino,pesquisa,,divulgação na universidade.,unicamp,são paulo,checkedin
4160,,,,,ensino médio,,,,masculino,"industria, projetos, desenvolvimento",,tv,,,checkedin
4161,campinas,brasil,design,,graduação,intermediate,basic,udemy,feminino,todas,italiano fluente,televisão,unesp,são paulo,checkedin
4162,,,ciência da computação,,graduação,intermediate,,,feminino,financeiro,,mural da faculdade,unip,,confirmed
4163,hortolândia,brasil,pedagogia,,,,basic,,feminino,"pedagogia , educação fisica , enfermagem",,jornal eptv,uninter,são paulo,confirmed
4164,,afeganistão,química tecnológica,,graduação,,,,masculino,consultoria,,amigo,unicamp,,checkedin
4165,,,enfermagem,,graduação,,,,feminino,enfermagem,,unicamp,anhanguera,,checkedin
4166,campinas,,engenharia mecânica,,graduação,,,,masculino,"consultoria, banco, engenharia",,facebook,unicamp,são paulo,checkedin
4167,campinas,brasil,química,"dow,  p&g de mars",graduação,advanced,intermediate,,feminino,pesquisa e qualidade,,amigos,usp - sp,são paulo,checkedin
4168,campinas,brasil,gestão em marketing,"onde eu consiga dar o melhor de mim, que realizar um excelente trabalho.",graduação,intermediate,intermediate,,feminino,"marketing, vendas, planejamentos, controles",,eptv,unip,são paulo,checkedin
4169,,,ciências biológicas,,graduação,,,,feminino,pesquisa e desenvolvimento,,amigos,unicamp,,checkedin
4170,mogi guaçu,brasil,engenharia de produção,uma empresa que dê oportunidade para poder crescer dentro dela.,graduação,advanced,intermediate,,feminino,"financeira, qualidade, logística",japonês intermediário,televisão,fundação hermínio ometto - uniararas,são paulo,confirmed
4171,,,educação física,,graduação,,,,feminino,educacao fisica,,cartaz,unicamp,,checkedin
4172,sumaré,brasil,engenharia química,3m,graduação,intermediate,intermediate,"gestão de projeto, produção mais limpa e ecologia industrial, sustentabilidade empresarial",feminino,"p&d, processos, projetos",espanhol (intermediário) e francês (básico),site,unimep,são paulo,checkedin
4173,,,enfermagem,,graduação,,,,feminino,saúde,,unicamp,unicamp,,checkedin
4174,campinas,brasil,ciências econômicas,aquela que enxergue meu potencial e possibilite meu desenvolvimento profissional e pessoal.,graduação,intermediate,advanced,excel avançado,feminino,"consultoria, financeiro, auditoria, controladoria, vendas",,amigo,puccamp,são paulo,checkedin
4175,,,química,,mestrado,,,,masculino,química orgânica e farmâceutica,,amiga,unicamp,,checkedin
4176,,,pedagogia,,mestrado,,,,feminino,educacao,,universidade,unicamp,,checkedin
4177,amparo,brasil,educação física,,graduação,intermediate,advanced,,feminino,saúde,,unicamp,unicamp,são paulo,checkedin
4178,campinas,brasil,design,eldorado,mba,advanced,basic,especialização em design gráfico,feminino,"design, marketing",,televisão,unicamp,são paulo,checkedin
4179,paulínia,brasil,engenharia agronômica,dow,graduação,basic,advanced,,masculino,assistência técnica,,tv,universidade federal rural do rio de janeiro,são paulo,checkedin
4180,,,engenharia elétrica,,mestrado,,,,feminino,engenharia,,amigos,unicamp,,confirmed
4181,,,engenharia elétrica,,graduação,,,,masculino,consultoria,,amigo,unicamp,,checkedin
4182,,,ciências econômicas,,graduação,,,,masculino,"empresarial, bancos",,jornal,unicamp,,checkedin
4183,campinas,brasil,geologia,,,basic,basic,,feminino,"mineração, geoprocessamento, consultoria, vendas",,e-mail,unicamp,são paulo,confirmed
4184,,,engenharia de alimentos,,graduação,,,,feminino,pesquisa,,amigos,unicamp,,checkedin
4185,valinhos,brasil,engenharia elétrica,,graduação,basic,basic,curso técnico em eletrônica,masculino,tecnologia,,familiar,unip,são paulo,checkedin
4186,,,administração,,graduação,,,,masculino,"administração,economia",,email,unicamp,,checkedin
4187,,,engenharia mecânica,,graduação,,,,masculino,industria,,unicamp,unicamp,,checkedin
4188,,,,,ensino médio,,,,feminino,consultoria,,anuncio,,,checkedin
4189,,,linguistica,,graduação,,,,masculino,consultoria,,amigos,unicamp,,checkedin
4190,,,direito,,graduação,,,,masculino,empresarial,,amigos,metrocamp,,checkedin
